time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,att_phi,att_theta,att_psi,distance_est,centroid_x,centroid_y,divergence,true_divergence,divergence_sp,pitch_sum,raw_divergence,color_count,cmd_thrust,cmd_roll,cmd_pitch,cmd_yaw,pos_z_inverted
0 days 00:00:30.590191,-1.4297330606060605,0.14737160606060606,-0.428156909090909,0.23657206060606062,-0.11068048484848485,0.36876800000000004,-0.12777448484848486,0.034699181818181817,-0.04695127272727273,-0.007310151515151515,-0.009648575757575757,-5.0363636363636366e-05,10.0,-27.333333333333332,13.0,0.10858478787878788,0.09685618181818183,0.0,-38.4608676060606,0.12274930303030304,4029.3333333333335,6315.272727272727,181.1818181818182,30.545454545454547,22.272727272727273,0.428156909090909
0 days 00:00:30.655191,-1.414385393939394,0.1400999696969697,-0.4039370606060608,0.22818172727272726,-0.10954439393939394,0.3637752121212121,-0.12641363636363634,0.02133442424242424,-0.10601372727272727,-0.008361878787878788,-0.008912212121212121,0.0001303030303030303,10.0,-25.757575757575758,12.878787878787879,0.09932772727272728,0.09490218181818183,0.0,-38.76698672727273,0.05756645454545454,4056.4848484848485,6360.090909090909,-62.515151515151516,31.03030303030303,-17.696969696969695,0.4039370606060608
0 days 00:00:30.720191,-1.3995892727272727,0.13292075757575758,-0.38015548484848494,0.2198771515151515,-0.10773790909090909,0.35609375757575756,-0.12525527272727272,0.0307600303030303,-0.12379463636363637,-0.007191606060606061,-0.008207757575757575,-2.1666666666666667e-05,10.0,-23.575757575757574,12.0,0.10279972727272726,0.09151618181818182,0.0,-39.04938906060606,0.11303863636363637,4125.212121212121,6373.0,56.42424242424242,30.575757575757574,-13.090909090909092,0.38015548484848494
0 days 00:00:30.785191,-1.385128705882353,0.1257865588235294,-0.3565664705882352,0.2115305294117647,-0.10473920588235294,0.34741329411764704,-0.12387544117647058,0.05729688235294118,-0.13363858823529412,-0.004136235294117647,-0.00753129411764706,-0.0001706764705882353,10.0,-21.941176470588236,11.970588235294118,0.093956,0.089501,0.0,-39.31281702941176,0.058443,4154.058823529412,6382.0,-99.91176470588235,30.88235294117647,18.970588235294116,0.3565664705882352
0 days 00:00:30.850191,-1.3712217878787878,0.1188790909090909,-0.33357581818181825,0.20329093939393938,-0.10162987878787878,0.33814357575757575,-0.12200590909090911,0.029787121212121213,-0.14486393939393938,-0.006731757575757576,-0.006916454545454545,-5.424242424242424e-05,10.0,-19.87878787878788,10.878787878787879,0.10104554545454544,0.08594436363636364,0.0,-39.55469539393939,0.12353354545454545,4230.606060606061,6395.0,141.15151515151516,31.060606060606062,18.727272727272727,0.33357581818181825
0 days 00:00:30.915191,-1.3580597575757576,0.11223851515151514,-0.31153157575757584,0.19530009090909092,-0.09896057575757576,0.3298978484848485,-0.12016854545454544,0.07143742424242425,-0.09860342424242424,-0.0019712727272727273,-0.006362424242424242,0.00011757575757575758,10.0,-18.575757575757574,10.0,0.10699590909090909,0.08319836363636364,0.0,-39.773682575757576,0.12568427272727273,4312.090909090909,6366.272727272727,-32.15151515151515,30.96969696969697,-14.878787878787879,0.31153157575757584
0 days 00:00:30.980191,-1.3452348235294116,0.10583876470588235,-0.28965841176470597,0.18733826470588233,-0.09125302941176472,0.3218827941176471,-0.11745220588235294,0.13834885294117646,-0.15013900000000002,0.005551441176470588,-0.005840323529411765,-5.294117647058824e-06,10.0,-16.941176470588236,9.970588235294118,0.115568,0.08113,0.0,-39.97794732352941,0.151313,4384.14705882353,6417.0,-159.7058823529412,30.676470588235293,-12.882352941176471,0.28965841176470597
0 days 00:00:31.045191,-1.3329350303030303,0.09998933333333333,-0.2684319393939394,0.17956333333333332,-0.0842069696969697,0.31100360606060606,-0.11468566666666667,0.059792,-0.1704888787878788,-0.002010878787878788,-0.005362151515151515,-0.00018069696969696971,8.025882363636365,-14.757575757575758,9.0,0.10421836363636364,0.07754345454545455,0.04094606060606061,-40.165601606060605,0.06826736363636363,4428.787878787879,6432.818181818182,173.12121212121212,47.63636363636363,24.696969696969695,0.2684319393939394
0 days 00:00:31.110191,-1.3213262727272728,0.09452654545454545,-0.24827187878787882,0.17192424242424242,-0.081279,0.2993838181818182,-0.11971509090909091,0.04935236363636364,-0.1757331515151515,-0.002637575757575758,-0.004075666666666667,-1.106060606060606e-05,5.362195878787879,-13.0,8.787878787878787,0.10464909090909091,0.07479018181818181,0.10394,-40.326539878787884,0.10711372727272726,4499.636363636364,6426.363636363636,-45.121212121212125,48.45454545454545,11.333333333333334,0.24827187878787882
0 days 00:00:31.175191,-1.3102476363636364,0.08928639393939394,-0.22880469696969707,0.16334215151515152,-0.07715566666666666,0.29144387878787875,-0.1418639696969697,0.07496651515151516,-0.058209030303030304,0.00041248484848484853,-0.000959969696969697,8.960606060606061e-05,5.326377212121212,-13.0,8.0,0.116741,0.07264,0.10394,-40.41318618181818,0.169136,4580.0,6347.0,60.484848484848484,23.939393939393938,-18.060606060606062,0.22880469696969707
0 days 00:00:31.240191,-1.2996365588235295,0.0843210588235294,-0.20940608823529416,0.1531130588235294,-0.07047741176470589,0.2861535,-0.1569279705882353,0.12203432352941178,-0.13328620588235293,0.005896382352941176,0.0015286176470588235,-6.35e-05,5.290260941176471,-10.882352941176471,7.882352941176471,0.07432047058823531,0.0684179411764706,0.10394,-40.39240970588236,-0.06095941176470589,4544.705882352941,6449.529411764706,-144.58823529411765,-69.70588235294117,-7.647058823529412,0.20940608823529416
0 days 00:00:31.305191,-1.289699606060606,0.07986051515151515,-0.19058281818181821,0.14385733333333334,-0.06317351515151515,0.27483457575757575,-0.109215,0.07426457575757575,-0.18116200000000002,0.0014610606060606061,-0.002598,-0.00020763636363636362,5.254388636363636,-10.0,7.0,0.073035,0.06829,0.10394,-40.391163484848484,-0.067932,4610.0,6459.0,20.424242424242426,59.18181818181818,24.78787878787879,0.19058281818181821
0 days 00:00:31.370191,-1.2803861818181819,0.07577612121212121,-0.1728812121212122,0.1388048181818182,-0.06142621212121212,0.25951378787878787,-0.052208090909090905,-0.006152393939393939,-0.3286959696969697,-0.006403727272727273,-0.0077757272727272736,-2.706060606060606e-05,5.219290090909091,-6.363636363636363,7.0,0.09274093939393939,0.061995242424242425,0.10394,-40.57515390909091,0.1469008787878788,4708.181818181818,6622.454545454545,183.0,132.84848484848484,14.606060606060606,0.1728812121212122
0 days 00:00:31.435191,-1.271328303030303,0.07172960606060606,-0.1565293030303031,0.13528772727272728,-0.06028563636363636,0.23660727272727272,-0.06496896969696969,0.06057242424242425,-0.2835827272727273,0.0006373636363636363,-0.006080363636363636,0.0001336969696969697,5.184425909090908,-4.0,7.0,0.07893924242424243,0.06011269696969697,0.10394,-40.820699,0.02608742424242424,4732.0,6505.363636363636,-153.42424242424244,-14.787878787878787,-24.757575757575758,0.1565293030303031
